,title,parental_rating,rating_count,rating_value,year,runtime,budget,wwgross,bechdel_test,female_face_ratio
tt0228333,Ghosts of Mars,R,49013,4.9,2001,98,28000000,14010832,3,0.3346841902729045
tt0964539,Pathology,R,29859,6.0,2008,95,8000000,3234706,NotAvailable,0.2699781192507205
tt3564472,Girls Trip,R,31084,6.2,2017,122,19000000,140552359,3,0.630174092556391
tt0105665,Twin Peaks: Fire Walk with Me,R,79074,7.3,1992,134,10000000,4183547,3,0.3152270429984701
tt0317648,Hidalgo,PG-13,74764,6.7,2004,136,100000000,108040622,NotAvailable,0.23807427216924915
tt0108333,The Three Musketeers,PG,47668,6.4,1993,105,30000000,53898845,NotAvailable,0.2571015540686463
tt0288477,Ghost Ship,R,89314,5.5,2002,91,20000000,68349884,NotAvailable,0.3123333460760999
tt0140352,The Insider,R,152222,7.8,1999,157,90000000,60289912,NotAvailable,0.2308886027008185
tt1425922,Black Nativity,PG,1936,4.5,2013,93,17500000,7454185,NotAvailable,0.3606726273920371
tt4154796,Avengers: Endgame,PG-13,610458,8.5,2019,181,356000000,2797800564,3,0.4025793048444445
tt3450900,The Sea of Trees,PG-13,12006,6.1,2015,110,25000000,906995,NotAvailable,0.4354736974606299
tt0112722,Copycat,R,51018,6.6,1995,123,20000000,32051917,3,0.31509103674982675
tt1815708,Freelancers,R,9200,4.6,2012,96,11000000,456350,NotAvailable,0.28044594429906544
tt0480255,The Losers,PG-13,86537,6.3,2010,97,25000000,29379723,1,0.28727303199164345
tt0137523,Fight Club,R,1728536,8.8,1999,139,63000000,101187503,1,0.19185240648822272
tt0107286,Judgment Night,R,14468,6.6,1993,110,21000000,12526677,NotAvailable,0.20614292180285346
tt0095631,Midnight Run,R,66408,7.5,1988,126,30000000,81613606,2,0.1639285077166065
tt0114168,Powder,PG-13,27447,6.6,1995,111,9500000,30862156,NotAvailable,0.22709819880407126
tt4411618,In Dubious Battle,R,3343,6.1,2016,110,15000000,213982,NotAvailable,0.35862595253467244
tt0160399,Impostor,PG-13,21931,6.2,2001,95,30000000,8694320,0,0.2327384857038582
tt1711525,Office Christmas Party,R,61338,5.8,2016,105,45000000,114501299,3,0.4901472015034966
tt2295722,Falcon Rising,R,7195,5.8,2014,103,4500000,267476,NotAvailable,0.3501181090102389
tt0389557,Zwartboek,R,69447,7.7,2006,145,21000000,26768563,3,0.3084483025250764
tt0116922,Lost Highway,R,121544,7.6,1997,134,15000000,3703548,1,0.27592551588075875
tt3713166,Unfriended,R,63801,5.5,2014,83,1000000,62882090,3,0.5617813848493278
tt5968394,Captive State,PG-13,40535,6.0,2019,109,25000000,8771532,NotAvailable,0.3749790420842333
tt0112697,Clueless,PG-13,162237,6.8,1995,97,12000000,56631572,3,0.39199909975415936
tt1220719,Yip Man,R,199206,8.0,2008,106,11715578,22108789,NotAvailable,0.30148644052854123
tt0117666,Sling Blade,R,83193,8.0,1996,135,1000000,24444121,NotAvailable,0.2204260267041367
tt1340138,Terminator Genisys,PG-13,244245,6.4,2015,126,155000000,440603537,0,0.3876057167219388
tt0313737,Two Weeks Notice,PG-13,100274,6.1,2002,101,60000000,199043242,3,0.4057241263939246
tt0373074,Kung fu,R,119397,7.7,2004,99,20000000,104882445,0,0.2990544280740741
tt1666185,All Eyez on Me,R,19381,5.8,2017,139,40000000,55668698,1,0.3791704417965228
tt5463162,Deadpool 2,R,426130,7.7,2018,119,110000000,785046920,2,0.3692671422338753
tt6143568,The Humanity Bureau,R,7975,5.2,2017,95,6000000,58970,NotAvailable,0.4448170467857143
tt0954947,The Killer Inside Me,R,32105,6.1,2010,109,13000000,3979243,1,0.2855834384602273
tt0243736,40 Days and 40 Nights,R,68145,5.6,2002,96,17000000,95146283,NotAvailable,0.3084383738542891
tt1457767,The Conjuring,R,412412,7.5,2013,112,20000000,319494638,3,0.39975186885150815
tt1267297,Hercules,PG-13,139434,6.0,2014,98,100000000,244819862,2,0.344286498051846
tt4981636,Middle School: The Worst Years of My Life,PG,6836,6.1,2016,92,8500000,23316139,3,0.5094179793188578
tt0356150,EuroTrip,R,185454,6.6,2004,92,25000000,20796847,NotAvailable,0.29066897284745763
tt0252076,Maid in Manhattan,PG-13,80322,5.2,2002,105,55000000,154906693,3,0.4022957838745388
tt2392830,A Quiet Passion,PG-13,4766,6.4,2016,125,7492174,4159246,3,0.6221594331967213
tt0104389,The Hand That Rocks the Cradle,R,35597,6.6,1992,110,11700000,88036683,NotAvailable,0.3705231701914893
tt4649416,Almost Christmas,PG-13,5372,6.1,2016,111,17000000,42580920,3,0.5211733847558723
tt0093779,The Princess Bride,PG,368998,8.1,1987,98,16000000,30877156,2,0.2515082403377563
tt1972779,The Best of Me,PG-13,61479,6.7,2014,118,26000000,35926213,NotAvailable,0.4786113147857661
tt0120737,The Lord of the Rings: The Fellowship of the Ring,PG-13,1551567,8.8,2001,178,93000000,872491916,1,0.2762191509142857
tt1139328,The Ghost Writer,PG-13,150420,7.2,2010,128,45000000,60222298,2,0.3215141113724893
tt0090927,The Delta Force,R,17682,5.6,1986,125,12000000,17768900,NotAvailable,0.22172776523641494
tt0093493,Mannequin,PG,27332,5.9,1987,90,6000000,42721196,NotAvailable,0.3379869274278215
tt0398913,DOA: Dead or Alive,PG-13,42095,4.8,2006,87,21000000,7563172,3,0.3712339229411765
tt6512428,Indivisible,PG-13,918,5.6,2018,119,2700000,3589633,NotAvailable,0.4800834772100102
tt0117891,A Thin Line Between Love and Hate,R,4020,5.7,1996,108,8000000,35599803,NotAvailable,0.309794156617794
tt0113492,Judge Dredd,R,105338,5.6,1995,96,90000000,113493481,3,0.2413093398701299
tt0947810,Green Zone,R,124167,6.8,2010,115,100000000,154711438,0,0.2801404852254642
tt0108308,Teenage Mutant Ninja Turtles III,PG,29260,4.8,1993,96,21000000,42273609,NotAvailable,0.2599244361016949
tt4158624,3 Generations,PG-13,5264,5.9,2015,92,5000000,531046,NotAvailable,0.5753436368571428
tt0107426,Little Buddha,PG,14750,6.1,1993,123,35000000,4858139,1,0.2629054063293435
tt0109676,Drop Zone,R,18388,5.6,1994,101,45000000,28735315,2,0.2647726044634146
tt0250494,Legally Blonde,PG-13,170679,6.2,2001,96,18000000,141774679,3,0.4140033331324737
tt7137380,Destroyer,R,19522,6.2,2018,121,9000000,5580940,3,0.5028873623947668
tt0189998,Shadow of the Vampire,R,38635,6.9,2000,92,8000000,11155214,NotAvailable,0.2585785342512077
tt0482606,The Strangers,R,112415,6.2,2008,86,9000000,82391145,3,0.3833675328864569
tt1905041,Furious 6,PG-13,352993,7.1,2013,130,160000000,788679850,3,0.29654964611616513
tt0182789,Bicentennial Man,PG,104446,6.9,1999,132,100000000,87423861,3,0.3522002500237671
tt0094812,Bull Durham,R,44653,7.1,1988,108,7000000,50888729,NotAvailable,0.27414234298901097
tt1125849,The Wrestler,R,280372,7.9,2008,109,6000000,44703995,1,0.3389360382298739
tt1723811,Shame,NC-17,174326,7.2,2011,101,6500000,17693675,1,0.3432389294987775
tt7334528,Uncle Drew,PG-13,10681,5.7,2018,103,19000000,46664414,NotAvailable,0.4069379432386027
tt0099165,The Bonfire of the Vanities,R,20559,5.6,1990,125,47000000,15691192,2,0.25017857058225185
tt0396269,Wedding Crashers,R,319105,6.9,2005,119,40000000,285176741,3,0.35391308017363343
tt0437863,The Benchwarmers,PG-13,46360,5.5,2006,85,33000000,64957291,NotAvailable,0.35057119937089204
tt0098575,Valmont,R,11913,7.0,1989,137,33000000,1132112,NotAvailable,0.3819081066559485
tt0926129,Prom Night,PG-13,32499,3.9,2008,88,20000000,57197876,3,0.4044891342050751
tt0472043,Apocalypto,R,275073,7.8,2006,139,40000000,120654337,3,0.2646458061806155
tt5690810,Ophelia,PG-13,4656,6.8,2018,114,12000000,229405,NotAvailable,0.5240075172995781
tt1628841,Independence Day: Resurgence,PG-13,158535,5.2,2016,120,165000000,389681935,3,0.35105562442004506
tt0210945,Remember the Titans,PG,187613,7.8,2000,113,30000000,136706683,3,0.25264255960270066
tt0481141,No Reservations,PG,67682,6.3,2007,104,28000000,92601050,3,0.44029855653562655
tt1411250,Riddick,R,147430,6.4,2013,119,38000000,98337295,0,0.2593590560522959
tt1152850,Wendy and Lucy,R,15108,7.1,2008,80,200000,1192995,3,0.4467829635109718
tt0391198,The Grudge,PG-13,133749,5.9,2004,91,10000000,187281115,3,0.3550450205193952
tt0111280,Star Trek: Generations,PG,71798,6.6,1994,118,35000000,118071125,3,0.22078203716966965
tt5711148,Film Stars Don't Die in Liverpool,R,7315,6.7,2017,105,10000000,4047917,NotAvailable,0.4863366691812866
tt2474024,The Last Five Years,PG-13,8891,5.9,2014,94,2000000,292092,1,0.5325604776543759
tt0117438,Ransom,R,113033,6.6,1996,121,80000000,309492681,NotAvailable,0.2216000307666291
tt0242653,The Matrix Revolutions,R,424267,6.7,2003,129,150000000,427344031,3,0.2728278866353072
tt1273221,London Fields,R,3982,4.3,2018,118,8000000,487420,NotAvailable,0.45699400139738
tt0479997,Season of the Witch,PG-13,87081,5.4,2011,95,40000000,91627228,NotAvailable,0.2533752327094972
tt1366365,The Cold Light of Day,PG-13,33473,4.9,2012,93,20000000,16863583,NotAvailable,0.3059027776689189
tt0120177,Spawn,R,61203,5.3,1997,96,40000000,87840042,3,0.2364888230877901
tt0338095,Haute tension,R,64308,6.8,2003,91,2309566,6291958,3,0.3361575156576577
tt0452608,Death Race,R,190405,6.4,2008,105,45000000,75677515,1,0.2940315116447021
tt3276924,Heist,R,25500,6.1,2015,93,8900000,3777046,NotAvailable,0.3795537517500001
tt0242445,Exit Wounds,R,30851,5.6,2001,101,50000000,79958599,NotAvailable,0.2120525060784314
tt0285531,Dreamcatcher,R,85882,5.5,2003,134,68000000,81240406,0,0.1901533255928144
tt5657846,Daddy's Home 2,PG-13,52964,6.0,2017,100,69000000,180613180,3,0.4573293832742242
tt0120681,From Hell,R,141302,6.8,2001,122,35000000,74558115,3,0.2574640104
tt0105323,Scent of a Woman,R,239356,8.0,1992,156,31000000,134095253,1,0.20713936824123816
tt5294550,All the Money in the World,R,64065,6.8,2017,132,50000000,56996304,2,0.42013523775725603
tt0281322,Undisputed,R,27382,6.2,2002,94,20000000,14946150,NotAvailable,0.2033166495996921
tt0102558,Nothing But Trouble,PG-13,21344,5.1,1991,94,40000000,8479793,NotAvailable,0.2987270259521812
tt1001508,He's Just Not That Into You,PG-13,152755,6.4,2009,129,40000000,178846899,3,0.4420287229254163
tt2592614,Resident Evil: The Final Chapter,R,77410,5.5,2016,107,40000000,312242626,3,0.4738124501095618
tt0113419,The Indian in the Cupboard,PG,24568,6.0,1995,96,45000000,35656131,NotAvailable,0.2893453301240876
tt0095304,High Spirits,PG-13,8081,5.8,1988,99,17000000,8578231,NotAvailable,0.2931216059695973
tt0420087,A Prairie Home Companion,PG-13,21222,6.7,2006,105,10000000,25986072,3,0.3347004830054645
tt0417148,Snakes on a Plane,R,127668,5.4,2006,105,33000000,62022014,3,0.3300686465468969
tt5669936,The Recall,R,6448,4.5,2017,90,5000000,112357,NotAvailable,0.4871958097959184
tt0417433,Annapolis,PG-13,19770,5.9,2006,108,26000000,17496992,NotAvailable,0.22446080197355373
tt0346491,Alexander,R,156633,5.6,2004,175,155000000,167298192,1,0.26434092587628866
tt0114608,Tales from the Crypt: Demon Knight,R,19986,6.7,1995,92,13000000,21089146,NotAvailable,0.2664158556659836
tt5721088,Just Getting Started,PG-13,5234,4.4,2017,91,22000000,7634022,NotAvailable,0.4544621506874096
tt0804497,It's Kind of a Funny Story,PG-13,128340,7.1,2010,101,8000000,6491240,1,0.3086410418044355
tt4572514,Patriots Day,R,79375,7.4,2016,133,45000000,50549909,NotAvailable,0.4029743504403087
tt0108160,Sleepless in Seattle,PG,148505,6.8,1993,105,21000000,227927165,2,0.3507146650770359
tt1650062,Super 8,PG-13,324444,7.0,2011,112,50000000,260095986,3,0.3505489508429829
tt0859163,The Mummy: Tomb of the Dragon Emperor,PG-13,144024,5.2,2008,112,145000000,403449830,3,0.3786783357007376
tt1761005,Persecuted,PG-13,1465,3.5,2014,91,1500000,1558836,NotAvailable,0.37308621800772207
tt1273678,The Spy Next Door,PG,37681,5.4,2010,94,28000000,66166000,3,0.4133161898474059
tt0094608,The Accused,R,29615,7.1,1988,111,6000000,32078318,3,0.32103136805936583
tt4595882,Can You Ever Forgive Me?,R,37029,7.1,2018,106,10000000,12442161,3,0.5534283416124401
tt2239822,Valerian and the City of a Thousand Planets,PG-13,147635,6.5,2017,137,177200000,225874228,1,0.4220184170677389
tt0089767,Pale Rider,R,48997,7.3,1985,115,6900000,41410568,NotAvailable,0.21993687151685395
tt1640548,Rampart,R,22367,5.8,2011,108,12000000,1567905,NotAvailable,0.3358203243229497
tt1263670,Crazy Heart,R,80731,7.2,2009,112,7000000,47405566,NotAvailable,0.30658670022727275
tt0102800,Robot Jox,PG,5359,5.4,1989,85,10000000,1272977,NotAvailable,0.25162839728295816
tt1990314,Robot & Frank,PG-13,59947,7.1,2012,89,2500000,4806423,1,0.33028014869993433
tt0116329,Fly Away Home,PG,22413,6.8,1996,107,22000000,25143818,3,0.28802586525797097
tt0253474,The Pianist,R,666661,8.5,2002,150,35000000,120072577,1,0.29097568040317257
tt5013056,Dunkirk,PG-13,488863,7.9,2017,106,100000000,526940665,0,0.3178186589566809
tt0993842,Hanna,PG-13,181680,6.8,2011,111,30000000,63782078,3,0.4113603176648977
tt0118749,Boogie Nights,R,224404,7.9,1997,155,15000000,43101594,3,0.2373664223076923
tt0905372,The Thing,R,114142,6.2,2011,103,38000000,27428670,3,0.33304938258461536
tt0105378,Shadows and Fog,PG-13,15304,6.7,1991,85,14000000,2735731,NotAvailable,0.27436021835144925
tt0245686,Joe Dirt,PG-13,48583,6.0,2001,91,17700000,30987695,NotAvailable,0.2618422649231346
tt2446042,Taken 3,PG-13,168935,6.0,2014,108,48000000,326479141,NotAvailable,0.3880386180645161
tt1706620,Snowpiercer,R,252838,7.1,2013,126,39200000,86758912,3,0.31142397649473685
tt2938956,The Transporter Refueled,PG-13,37031,5.2,2015,96,25000000,72629670,3,0.4449735910290238
tt0093560,The Monster Squad,PG-13,25912,7.1,1987,79,12000000,3769990,NotAvailable,0.28518460204946994
tt0398712,Assault on Precinct 13,R,71461,6.3,2005,109,30000000,35294470,3,0.27192719531039644
tt0870111,Frost/Nixon,R,98251,7.7,2008,122,25000000,27426335,1,0.2906906543997686
tt1121931,Crank: High Voltage,R,134175,6.2,2009,96,20000000,34561792,NotAvailable,0.3466326659057437
tt6857112,Us,R,163098,6.9,2019,116,20000000,255105930,3,0.488366898238342
tt4871980,The Perfect Match,R,3144,4.9,2016,96,5000000,10414738,2,0.4400758018738846
tt6542108,Patrick,TV-14,2146,5.8,2018,94,8107889,3369468,NotAvailable,0.5861071846393691
tt3450958,War for the Planet of the Apes,PG-13,209871,7.4,2017,140,150000000,490719763,1,0.3520184221428572
tt0094291,Wall Street,R,136612,7.4,1987,126,15000000,43848069,NotAvailable,0.20667668181795634
tt1582507,House at the End of the Street,PG-13,67461,5.6,2012,101,10000000,44287131,3,0.4428281680816326
tt1320244,The Last Exorcism,PG-13,46525,5.6,2010,87,1800000,67738090,3,0.3745335634083601
tt1374992,Upside Down,PG-13,67217,6.4,2012,109,60000000,8106475,NotAvailable,0.33543098684416606
tt4172430,13 Hours,R,107209,7.3,2016,144,50000000,69411370,2,0.31146674549318804
tt1285016,The Social Network,PG-13,580795,7.7,2010,120,40000000,224920315,1,0.2785015648591549
tt0247303,Down,R,3884,4.5,2001,111,15000000,535658,NotAvailable,0.31113358863236296
tt1023481,Step Up 2: The Streets,PG-13,77012,6.2,2008,98,17500000,150988382,3,0.4036393343315509
tt2193215,The Counselor,R,93206,5.3,2013,117,25000000,71009334,3,0.3226981962851303
tt0455590,The Last King of Scotland,R,168079,7.7,2006,123,6000000,48363516,NotAvailable,0.2691649198991529
tt0416243,Submerged,R,4450,3.7,2005,96,15000000,71915,NotAvailable,0.22038419835003345
tt0263265,The Devil and Daniel Webster,PG-13,4791,5.5,2003,106,35000000,686846,NotAvailable,0.2909510234392985
tt0109707,Ed Wood,R,159509,7.8,1994,127,18000000,5887457,3,0.2311759019148936
tt0134154,Ride with the Devil,R,12399,6.7,1999,138,38000000,635096,NotAvailable,0.2371759061732852
tt0406816,The Guardian,PG-13,84232,6.9,2006,139,70000000,94973540,1,0.23579545
tt2980648,The Hundred-Foot Journey,PG,71570,7.3,2014,122,22000000,88880821,3,0.4385350183865546
tt0279493,Undercover Brother,PG-13,32444,5.8,2002,86,25000000,41604473,3,0.28431028251188306
tt0112744,The Crossing Guard,R,12203,6.3,1995,111,9000000,868979,NotAvailable,0.2670324078215654
tt0181875,Almost Famous,R,238748,7.9,2000,122,60000000,47383689,3,0.31571419924000005
tt2398231,The Homesman,R,28375,6.6,2014,122,16000000,3819421,1,0.4596001338876059
tt0303714,Barbershop,PG-13,28254,6.3,2002,102,12000000,77063924,NotAvailable,0.24294164429153925
tt1321509,Death at a Funeral,R,43518,5.7,2010,92,21000000,49050886,NotAvailable,0.3054850387809037
tt0101764,Double Impact,R,35810,5.6,1991,110,15000000,30102717,NotAvailable,0.22337948117367168
tt0107478,Made in America,PG-13,14977,5.0,1993,111,22000000,104942695,NotAvailable,0.3243986777288974
tt0120376,Trojan War,PG-13,5427,5.7,1997,85,15000000,309,NotAvailable,0.3029394262441589
tt3340446,Storm Boy,PG,1823,6.9,2019,99,15000000,4252706,NotAvailable,0.4603839771008737
tt1285009,The Strangers: Prey at Night,R,23669,5.2,2018,85,5000000,31039126,NotAvailable,0.5123033105271318
tt0790628,The Incredible Burt Wonderstone,PG-13,68528,5.9,2013,100,30000000,27437881,1,0.3622415569466357
tt0272207,Narc,R,37191,7.1,2002,105,6500000,12633747,NotAvailable,0.18070816693605066
tt0445922,Across the Universe,PG-13,102806,7.3,2007,133,45000000,29625761,3,0.3389456110584345
tt0465494,Hitman,R,155698,6.3,2007,100,24000000,99965792,0,0.2280892620639333
tt4701182,Bumblebee,PG-13,111468,6.8,2018,114,135000000,467989645,3,0.5250698277204029
tt0452623,Gone Baby Gone,R,238228,7.6,2007,114,19000000,34612443,3,0.2775192505134788
tt6599742,El cuaderno de Sara,TV-MA,1958,5.9,2018,115,1201496,6298717,NotAvailable,0.5324238683617021
tt0120812,Rush Hour,PG-13,225150,7.0,1998,98,33000000,244721064,3,0.2082934871337782
tt3462710,Unforgettable,R,12119,5.1,2017,100,12000000,17768012,3,0.6320242037725382
tt5696326,Running for Grace,TV-14,1050,6.1,2018,110,12000000,89988,NotAvailable,0.4306437049345239
tt5281700,Heartbeats,PG,599,5.4,2017,107,6000000,46180,NotAvailable,0.4936966566446078
tt6772950,Truth or Dare,PG-13,37390,5.1,2018,100,3500000,95330493,3,0.5243951429878814
tt1649419,Lo imposible,PG-13,183227,7.6,2012,114,45000000,198087212,2,0.37958069841463415
tt0110475,The Mask,PG-13,322056,6.9,1994,101,23000000,351583407,1,0.24092071501808315
tt0454841,The Hills Have Eyes,R,151672,6.4,2006,107,15000000,69623713,3,0.3589195198698699
tt1661199,Cinderella,PG,148175,6.9,2015,105,95000000,542351353,3,0.5258608505384316
tt1305806,El secreto de sus ojos,R,177744,8.2,2009,129,2000000,42629597,1,0.3147968105833333
tt0110148,Interview with the Vampire: The Vampire Chronicles,R,279652,7.6,1994,123,60000000,223664608,1,0.257684535476082
tt1646980,The Double,PG-13,27434,5.9,2011,98,13500000,3696232,1,0.26682107571102226
tt2376218,The Forger,R,11249,5.8,2014,92,15000000,500304,NotAvailable,0.3764050053905913
tt0092666,Blind Date,PG-13,19616,6.0,1987,95,18000000,39337581,NotAvailable,0.2788994911750881
tt0385752,The Golden Compass,PG-13,171328,6.1,2007,113,180000000,372234864,3,0.3663648864310093
tt0443706,Zodiac,R,408135,7.7,2007,157,65000000,84785914,1,0.2051993333503575
tt0139668,True Crime,R,30112,6.6,1999,127,55000000,16649768,NotAvailable,0.28815122017485983
tt1345836,The Dark Knight Rises,PG-13,1423917,8.4,2012,164,250000000,1081041287,1,0.2654219792812106
tt0105226,Red Rock West,R,18893,7.0,1993,98,8000000,2502551,NotAvailable,0.22062411956718347
tt0272152,K-PAX,PG-13,169261,7.4,2001,120,68000000,65001485,1,0.2535311104439632
tt3397884,Sicario,R,339889,7.6,2015,121,30000000,84872444,0,0.3833061867840735
tt6157626,Kûkai,TV-14,1947,6.2,2017,129,25000000,97051623,NotAvailable,0.4119614740738621
tt1433108,Faster,R,95053,6.4,2010,98,24000000,35626958,0,0.331675491058164
tt0878804,The Blind Side,PG-13,273558,7.6,2009,129,29000000,309208309,2,0.3925871802776425
tt0421715,The Curious Case of Benjamin Button,PG-13,551718,7.8,2008,166,150000000,333932083,3,0.3790504414853556
tt4846340,Hidden Figures,PG,178237,7.8,2016,127,25000000,235956898,3,0.4979713970868046
tt2547584,The Light Between Oceans,PG-13,47949,7.2,2016,133,20000000,25975621,3,0.4701640003036176
tt1605630,American Reunion,R,194894,6.7,2012,113,50000000,234989584,NotAvailable,0.3148524604757785
tt0422720,Marie Antoinette,PG-13,94888,6.4,2006,123,40000000,60917189,3,0.3932412151017371
tt0388980,The Greatest Game Ever Played,PG,26328,7.4,2005,120,26000000,15431177,NotAvailable,0.22433891635850028
tt0096874,Back to the Future Part II,PG,441021,7.8,1989,108,40000000,335881828,3,0.2683484709596929
tt0098193,The Return of Swamp Thing,PG-13,3866,4.6,1989,88,4000000,192816,NotAvailable,0.3322841111961451
tt2304771,Mandela: Long Walk to Freedom,PG-13,25448,7.1,2013,141,35000000,27333835,1,0.3312002961664
tt0087130,DEFCON-4,R,1639,4.5,1985,88,NotAvailable,1057064,NotAvailable,0.2802287149135802
tt0800241,Transsiberian,R,48479,6.7,2008,111,15000000,5926410,3,0.40791366887105696
tt2024544,12 Years a Slave,R,593034,8.1,2013,134,20000000,187733202,3,0.2941656831495098
tt1418377,"I, Frankenstein",PG-13,76002,5.1,2014,92,65000000,71154592,1,0.4417733378587361
tt1478839,The Art of Racing in the Rain,PG,9557,7.5,2019,109,20000000,33766787,2,0.4560159327538726
tt3402236,Murder on the Orient Express,PG-13,187065,6.5,2017,114,55000000,352789811,3,0.4152728614347108
tt0092796,Creepshow 2,R,20709,6.1,1987,92,3500000,14000000,3,0.36588646200625
tt2002718,Machete Kills,R,71329,5.6,2013,107,20000000,15008161,3,0.3216168917505809
tt5886046,Escape Room,PG-13,60983,6.3,2019,99,9000000,155712077,NotAvailable,0.3928455715282392
tt0124315,The Cider House Rules,PG-13,89392,7.4,1999,126,24000000,88545092,3,0.33454488335407595
tt1194417,Casino Jack,R,16309,6.2,2010,108,12500000,1104907,1,0.283808609725802
tt0463034,"You, Me and Dupree",PG-13,75857,5.6,2006,110,54000000,130431368,1,0.3058654540262061
tt1748122,Moonrise Kingdom,PG-13,298103,7.8,2012,94,16000000,68263166,3,0.3928172984068173
tt0449089,RV,PG,53853,5.5,2006,99,50000000,87528173,3,0.3752719943359041
tt0118971,The Devil's Advocate,R,308904,7.5,1997,144,57000000,152944660,3,0.2487840331637081
tt0093737,The Pick-up Artist,PG-13,6100,5.3,1987,81,15000000,13290368,NotAvailable,0.30817756655894396
tt0384537,Silent Hill,R,205906,6.5,2006,125,50000000,97607453,3,0.3796660977239549
tt1251743,Salvation Boulevard,R,4257,5.3,2011,96,5500000,89182,NotAvailable,0.3248038635012516
tt2820852,Furious Seven,PG-13,342184,7.2,2015,137,190000000,1515047671,3,0.4128713743237048
tt0287978,Daredevil,PG-13,200186,5.3,2003,103,78000000,179179718,0,0.24599034956963056
tt1707392,Lovely Molly,R,8958,5.3,2011,99,1000000,638274,3,0.3883510754491018
tt0265087,Black Knight,PG-13,36144,4.9,2001,95,50000000,39976235,NotAvailable,0.2867717520985585
tt0119874,The Peacemaker,R,51825,5.9,1997,124,50000000,110463140,3,0.28240893106180665
tt1034032,Gamer,R,126211,5.8,2009,95,50000000,40828540,1,0.3303086418461538
tt0421994,Imagine Me & You,R,28144,6.8,2005,90,7900000,2635305,3,0.4266498352333137
tt0100935,Wild at Heart,R,76669,7.2,1990,125,9500000,14560247,2,0.3266249018627451
tt1226837,Beautiful Boy,R,37702,7.3,2018,120,25000000,17877506,NotAvailable,0.40799833728323703
tt0349205,Cheaper by the Dozen,PG,88718,5.8,2003,98,40000000,190538630,1,0.4044389220470896
tt0091080,Friday the 13th Part VI: Jason Lives,R,34943,6.0,1986,86,3000000,19472057,NotAvailable,0.3338129356737589
tt0115433,101 Dalmatians,G,95018,5.7,1996,103,75000000,320689294,3,0.3061400991799077
tt2543472,Wonder,PG,119423,8.0,2017,113,20000000,305937718,3,0.592251778024168
tt0181536,Finding Forrester,PG-13,79840,7.3,2000,136,43000000,80049764,2,0.2511942252143414
tt0339291,A Series of Unfortunate Events,PG,187517,6.8,2004,108,140000000,208155332,3,0.3910821084984227
tt0103855,The Bodyguard,R,110910,6.3,1992,129,25000000,411006740,NotAvailable,0.2283766271313419
tt0765443,Eastern Promises,R,217641,7.6,2007,100,49044226,56107312,3,0.2877792754281568
tt1247640,Banlieue 13: Ultimatum,R,41632,6.5,2009,101,16733904,52289,NotAvailable,0.26952758873469385
tt0093058,Full Metal Jacket,R,627886,8.3,1987,116,30000000,46357676,0,0.1956299959545354
tt0245120,The Forsaken,R,8086,5.3,2001,90,15000000,8704851,NotAvailable,0.289320133601476
tt0113862,Mr. Holland's Opus,PG,33984,7.3,1995,143,23000000,106269971,NotAvailable,0.2807707578767123
tt7153766,Unsane,R,34754,6.4,2018,98,1500000,14293601,NotAvailable,0.4827476571898856
tt1772240,Apollo 18,PG-13,52103,5.2,2011,86,5000000,25562924,0,0.3069615911111111
tt0465624,My Super Ex-Girlfriend,PG-13,59866,5.1,2006,96,30000000,60984606,NotAvailable,0.3353893605965817
tt1591479,Act of Valor,R,64366,6.5,2012,110,12000000,81275130,0,0.32550977931719965
tt4530422,Overlord,R,68670,6.6,2018,110,38000000,41657844,NotAvailable,0.3524647818993621
tt2531334,Keep Watching,R,3623,4.4,2017,89,5000000,94178,NotAvailable,0.4989383864833574
tt0105466,Stay Tuned,PG,9489,6.2,1992,88,25000000,10736401,NotAvailable,0.2538116743076923
tt1809398,Unbroken,PG-13,133097,7.2,2014,137,65000000,161459297,0,0.3867093828391529
tt0259446,My Big Fat Greek Wedding,PG,115114,6.5,2002,95,5000000,368744044,3,0.4050957304980193
tt3393786,Jack Reacher: Never Go Back,PG-13,126592,6.1,2016,118,60000000,162146076,3,0.4123064603313568
tt0288045,The Medallion,PG-13,37110,5.3,2003,88,41000000,34268701,NotAvailable,0.2950786469230769
tt1043726,The Legend of Hercules,PG-13,50994,4.2,2014,99,70000000,61279452,2,0.3650058653662258
tt3716530,Elle,R,56394,7.1,2016,130,9772401,12748594,3,0.5485332170840365
tt3125324,Beyond the Lights,PG-13,14362,6.9,2014,116,7000000,14618727,3,0.5534599453349673
tt0114906,Welcome to the Dollhouse,R,30402,7.4,1995,88,800000,4569019,3,0.3194607697172145
tt0473075,Prince of Persia: The Sands of Time,PG-13,259908,6.6,2010,116,200000000,336365676,0,0.3013048606020943
tt0106912,Fire in the Sky,PG-13,19811,6.6,1993,109,15000000,19885552,NotAvailable,0.2660705947162791
tt0462200,Black Snake Moan,R,59063,6.9,2006,116,15000000,10903846,NotAvailable,0.3099659086007541
tt3714720,The Hollars,PG-13,10544,6.5,2016,88,3800000,1138609,NotAvailable,0.4383227479866271
tt0296042,Koroshiya 1,R,49570,7.0,2001,129,1400000,80631,NotAvailable,0.2458651140032747
tt1675192,Take Shelter,R,85225,7.4,2011,120,5000000,3099314,3,0.3712714444415585
tt1655420,My Week with Marilyn,R,80331,7.0,2011,99,9963509,35057696,3,0.3542115323103933
